latitude,longitude,iata_faa
121.762347,36.681878,OAR
121.297592,38.553897,MHR
116.630031,35.280531,BYS
116.162203,34.296161,NXP
121.927464,38.262692,SUU
122.220722,37.721278,OAK
123.414075,48.141481,NOW
117.533833,47.619861,GEG
122.374889,37.618972,SFO
118.408075,33.942536,LAX
117.692039,35.685422,NID
115.673353,36.587183,INS
117.14175,32.867694,NKX
118.335186,33.922839,HHR
119.12094,34.120285,NTD
117.883739,34.905417,EDW
119.95208,36.333012,NLC
122.580783,47.079217,GRF
117.382997,34.597453,VCV
119.05677,35.433598,BFL
122.655906,48.351803,NUW
122.309306,47.449,SEA
118.151611,33.817722,LGB
116.78075,37.798836,TNX
117.21531,32.699219,NZY
119.32019,47.207708,MWH
122.861833,45.771028,SPB
121.436567,39.136089,BAB
121.102778,38.486778,RIU
118.358667,34.200667,BUR
121.49347,38.512524,SAC
117.655772,47.615058,SKA
122.476475,47.137678,TCM
120.568189,37.380481,MER
121.400611,38.667639,MCC
119.71814,36.776194,FAT
115.578744,32.834219,IPL
115.51333,32.669502,CXL
121.858422,39.795383,CIC
117.322558,47.682819,SFF
122.5975,45.588722,PDX
122.301947,47.53,BFI
117.189667,32.733556,SAN
117.601194,34.056,ONT
118.70098,39.416584,NFL
121.929022,37.3626,SJC
118.08456,34.629391,PMD
115.671667,32.829222,NJK
122.537528,48.792694,BLI
122.049139,37.416142,NUQ
117.445103,33.951875,RAL
121.238306,37.894167,SCK
119.768108,39.499108,RNO
120.584306,34.737333,VBG
115.034253,36.236197,LSV
117.259453,33.880711,RIV
120.954422,37.625817,MOD
121.590778,38.695417,SMF
122.281564,47.906342,PAE
116.506694,33.829667,PSP
117.868222,33.675667,SNA
115.15225,36.080056,LAS
123.135944,45.194444,MMV
117.109583,46.743861,PUW
117.015389,46.3745,LWS
121.842944,36.587,MRY
119.840372,34.426211,SBA
118.489972,34.209811,VNY
117.1648,33.0742,CLD
122.293389,40.509,RDD
123.211972,44.124583,EUG
122.8735,42.374228,MFR
121.149964,44.254066,RDM
114.716889,33.619167,BLH
119.995278,38.893889,TVL
123.9365556,46.9711944,HQM
117.731164,33.676132,NZJ
124.108611,40.978111,ACV
120.544,46.5682,YKM
120.457,34.8989,SMX
120.642,35.2368,SBP
124.246,43.4171,OTH
121.733,42.1561,LMT
115.792,40.8249,EKO
123.5,48.1202,CLM
124.237,41.7802,CEC
118.288,46.0949,ALW
119.119,46.2647,PSC
122.938,48.4839,LPS
122.764814,47.490244,PWT
113.4859,35.5925,GCW
114.514,35.5651,BLD
120.206,47.398,EAT
119.207222,34.200833,OXR
122.81288,38.508978,STS
118.415833,33.405,AVX
118.151856,35.059364,MHV
122.259,47.7548,KEH
118.339611,33.803392,TOA
112.1333333,35.96666666,JGC
114.841944,39.299722,ELY
118.837772,37.624049,MMH
123.024444,48.521944,FRD
122.910556,48.708056,ESD
122.6625,48.498889,OTS
123.878694,46.157972,AST
117.829444,35.658889,IYK
119.392778,36.318611,VIS
120.513889,37.284722,MCE
121.49133,37.41362,LVK
120.0222,37.3039,MPI
117.2348722,34.0953521,SBD
122.249444,37.511944,SQL
151.0382389,60.4749583,SXQ
116.9724444,32.8262222,SEE
117.1284732,33.5741791,F70
118.6564714,48.7182058,R49
121.3411,39.0553,MYV
122.0568889,37.9896667,CCR
122.898389,46.118,KLS
122.4838,48.0314,TWD
122.4581183,48.9558961,38W
122.8106436,48.0538086,0S9
115.134444,35.972778,HSH
148.91129,63.732757,MCL
122.401253,45.54937,TTD
122.949825,45.540394,HIO
123.159722,48.608056,RCE
122.80243,48.56025,BYW
122.868056,48.645556,RSJ
122.952778,48.617778,WSX
123.009722,48.537222,FBS
119.2511944,39.4030278,SPZ
118.4134331,34.2593253,WHP
120.1124444,36.9886111,MAE
117.759,32.4759,MYF
118.841389,45.695,PDT
108.459722,43.064167,RIW
107.894242,38.509794,MTJ
115.1944444,36.2106944,VGT
123.0788889,48.9797222,1RL
107.901989,35.167286,GNT
112.419583,34.654472,PRC
114.030889,40.718694,ENV
112.011583,33.434278,PHX
112.376144,48.608353,CTB
109.603667,31.469028,DUG
116.222861,43.564361,BOI
104.756581,38.678394,FCS
111.98275,46.606806,HLN
112.38306,33.535,LUF
104.496572,38.289085,PUB
106.609194,35.040222,IKR
111.977772,40.788389,SLC
106.377583,31.80725,ELP
110.883144,32.166467,DMA
104.75166,39.701668,BKF
106.380039,31.849528,BIF
114.60598,32.656578,YUM
104.263278,32.337472,CNM
110.344389,31.588472,FHU
109.762342,48.542983,HVR
111.973039,41.123939,HIF
103.103567,44.145042,RCA
110.941028,32.116083,TUS
103.642347,48.177939,ISN
107.75377,37.151516,DRO
104.530556,33.301556,ROW
108.229944,36.74125,FMN
103.217028,32.687528,HOB
104.673178,39.861656,DEN
107.27175,33.236944,TCS
103.603186,35.182777,TCC
108.791778,35.083228,ZUN
106.089422,35.617108,SAF
110.84789,31.417722,OLS
106.106525,32.852519,HMN
104.811839,41.155722,CYS
104.700778,38.805805,COS
115.872431,43.043603,MUO
113.098847,37.700967,CDC
103.322147,34.382775,CVS
106.40277,32.341484,WSD
106.464417,42.908,CPR
111.370689,47.482,GTF
106.6091944,35.0402222,ABQ
111.160151,45.777643,BZN
108.537654,45.80921,BIL
112.497472,45.954806,BTM
110.73775,43.60733333,JAC
108.526735,39.122413,GJT
113.593056,37.090583,SGU
107.90848,37.953759,TEX
103.057222,44.045278,RAP
112.07075,43.514556,IDA
114.256,48.310472,FCA
111.4483,36.9261,PGA
114.090556,46.916306,MSO
112.1469722,35.9523611,GCN
104.849294,39.570129,APA
105.142389,35.654222,LVS
103.509431,38.049719,LHX
106.921972,32.289417,LRU
106.917694,39.642556,EGE
105.011336,40.451828,FNL
111.6692392,35.140318,FLG
114.487733,42.481803,TWF
111.788472,34.848628,SDX
111.655,33.307833,AZA
105.5393611,44.3489167,GCC
108.628056,37.303,CEZ
107.21766,40.481181,HDN
108.789308,35.511058,GUP
102.6885,38.069694,LAA
109.023806,44.520194,COD
107.951,43.9657,WRL
106.98,44.7692,SHR
109.065,41.5942,RKS
112.596,42.9098,PIH
105.886,46.428,MLS
109.467,47.0493,LWT
105.675,41.3121,LAR
106.615,48.2125,GGW
103.596,41.874,BFF
105.991,32.8399,ALM
114.56,35.1574,IFP
113.938,35.2595,IGM
108.156,32.6365,SVC
122.339,47.629,LKE
117.584722,33.521925,FUL
114.296194,43.504444,SUN
111.852,41.791,LGU
112.062,41.552,BMC
112.289,42.17,MLD
106.869,39.2232,ASE
90.652044,38.662119,SUS
106.9159347,39.6427611,EGA
106.933056,38.533889,GUC
104.1925,47.706944,SDY
103.095556,42.8375,CDR
102.803889,42.053333,AIA
104.807222,47.138611,GDV
105.575,48.094444,OLF
111.1175,44.688333,WYS
105.866667,37.435,ALS
109.754722,38.755,CNY
109.51,40.440833,VEL
105.534751,33.46285,SRR
110.005556,34.265556,SOW
116.101389,44.889722,MYL
113.881389,45.123889,SMN
116.3209722,33.2590278,BXS
114.3582778,34.5711111,HII
110.7225278,35.0219167,INW
109.5064544,31.3426028,DGL
116.1596667,33.626666,TRM
118.4513056,34.0158333,SMO
116.2748133,33.7484375,UDD
111.9105278,33.6228889,ZSY
122.9025447,46.9694044,OLM
121.8569444,38.5793889,DWA
122.2806944,38.2131944,APC
116.9801611,32.5722722,SDM
120.1395628,39.3200422,...
112.7200133,44.7357483,4U9
110.4483056,45.6993889,LVM
109.9811111,45.8063889,6S0
103.7860053,44.4811407,SPF
105.1172222,39.90888888,BJC
123.003,44.9095,SLE
112.145806,37.706444,BCE
109.5754222,36.1108806,E91
111.218388,32.409556,AVW
111.766832,32.954889,CGZ
112.68618,33.420417,BXK
112.673636,32.960169,E63
103.2648454,40.6153136,STK
107.19994,41.8055975,RWL
116.8560278,34.2637778,L35
112.457,33.4117,DVT
116.515,36.273,L06
115.7305671,43.1316111,U76
87.4215556,44.8436667,SUE
88.1292306,41.6959744,1CS
87.9278056,42.5956944,ENW
88.3895833,42.6149167,C02
88.7056864,41.9338342,DKB
90.6523889,40.5200833,MQB
89.6270018,44.9262845,AUW
89.4828607,43.5603136,C47
90.1313967,46.5274747,IWD
90.3829444,47.8383333,GRM
94.367444,35.336583,FSM
97.099781,36.731958,PNC
97.176111,47.949256,GFK
91.935597,34.173142,PBF
87.021944,30.724167,NSE
88.068092,30.626783,BFM
95.894069,41.303167,OMA
97.433056,37.649944,ICT
94.713905,39.297606,MCI
89.337514,43.139858,MSN
93.154728,36.261519,HRO
94.711486,32.384014,GGG
91.883896,30.037758,ARA
89.976667,35.042417,MEM
97.074139,31.637831,CNW
92.149722,34.916944,LRF
86.684781,34.678653,HUA
102.547278,36.022586,DHT
100.777975,29.359486,DLF
85.858111,33.588167,ANB
98.228542,44.3852,HON
91.987611,30.205278,LFT
100.724417,37.927528,GCK
101.280333,48.259378,MOT
86.365778,32.382944,MXF
92.300153,34.850089,RBM
96.851778,32.847111,DAL
86.689278,30.427803,HRT
97.9165,36.339167,END
93.223335,30.126112,LCH
87.496183,36.668567,HOP
96.250958,28.727508,PSX
89.943956,35.964347,BYH
97.386633,35.414739,TIK
95.366656,35.656489,MKO
93.403067,48.566186,INL
100.287992,34.433781,CDS
88.924433,30.410425,BIX
97.809723,27.507223,NQI
96.764453,39.055275,FRI
96.75925,40.850971,LNK
95.341442,29.984433,IAH
86.522111,30.778833,CEW
97.654389,26.2285,HRL
87.318647,30.352656,NPA
87.186611,30.473425,PNS
97.401194,47.961098,RDR
95.278889,29.645419,HOU
95.15875,29.607333,EFD
98.026944,27.740889,ALI
90.075889,32.311167,JAN
94.860406,29.265322,GLS
93.547864,38.730306,SZL
90.084706,33.494328,GWO
90.646417,35.831708,JBR
92.193649,46.842091,DLH
93.8256,32.446629,SHV
94.020694,29.950833,BPT
95.414467,30.351833,CXO
98.469778,29.533694,SAT
95.783463,34.882403,MLC
96.331361,30.715694,CFD
92.295772,31.394903,ESF
99.266681,34.667067,LTS
101.357661,48.415572,MIB
87.846278,41.071389,IKK
97.240833,48.942501,PMB
93.191667,31.044833,POE
92.838994,47.3866,HIB
94.75,31.234014,LFK
102.201914,31.942528,MAF
88.129589,44.485072,GRB
97.008889,34.300833,ADM
92.224306,34.729444,LIT
94.612222,48.728444,BDE
92.140736,37.741631,TBN
85.575417,30.069567,PAM
97.037997,32.896828,DFW
97.669889,30.194528,AUS
97.714469,31.138731,HLR
90.370028,38.748697,STL
98.491894,33.988797,SPS
103.201361,31.779628,INK
86.678194,36.124472,BNA
99.461556,27.54375,LRD
99.8546,32.420756,DYS
92.813278,33.220972,ELD
88.248611,41.907778,DPA
97.230519,31.611289,ACT
97.097228,32.083486,INJ
88.915611,35.599889,MKL
85.972106,37.907058,FTK
100.496306,31.35775,SJT
96.363833,30.588583,CLL
87.896583,42.947222,MKE
99.681897,32.411319,ABI
92.219631,38.818094,COU
97.362444,32.819778,FTW
98.581108,29.384228,SKF
93.663083,41.533972,DSM
92.037689,32.510864,MLU
96.065333,33.067839,GVT
97.425861,25.906833,BRO
85.449628,31.321339,DHN
97.501222,27.770361,CRP
87.752417,41.785972,MDW
96.384367,42.402603,SUX
98.2789,29.529675,RND
94.170059,36.005094,FYV
98.402167,34.649833,FSI
93.608217,45.559868,PNM
98.060175,32.781606,MWL
97.268192,37.621853,IAB
90.035,29.825333,NBG
93.991028,33.453722,TXK
97.828917,31.06725,GRK
89.870278,35.356667,NQA
88.242814,30.691231,MOB
93.339917,30.831722,DRI
89.835183,38.545178,BLV
100.927158,29.374208,DRT
94.914686,39.368332,FLV
86.75355,33.562942,BHM
87.867908,42.422161,UGN
98.238611,26.175833,MFE
101.822778,33.663639,LBB
87.904842,41.978603,ORD
95.912511,41.118332,OFF
101.705931,35.219369,AMA
94.191842,42.5512,FOD
93.662674,32.50182,BAD
95.663611,38.950944,FOE
99.220294,28.456694,COT
91.149639,30.533167,BTR
88.555557,32.552083,NMM
95.402386,32.354139,TYR
99.051353,34.991308,HBR
92.549833,31.3274,AEX
95.888111,36.198389,TUL
93.221767,44.881956,MSP
90.258028,29.993389,MSY
97.600733,35.393089,OKC
88.443833,33.643833,CBM
86.5254,30.48325,VPS
86.987803,32.343947,SEM
96.741914,43.582014,FSD
87.532364,38.036997,EVV
89.0972222,42.1953611,RFD
88.915917,40.477111,BMI
89.070111,30.407278,GPT
88.865689,39.834564,DEC
91.710806,41.884694,CID
91.256711,43.878986,LSE
89.646635,44.772726,CWA
89.693258,40.664203,PIA
88.507576,44.257526,ATW
92.500014,43.908283,RST
88.278056,40.03925,CMI
96.670833,39.140972,MHK
95.554276,30.063746,DWH
96.442859,28.429977,S46
90.507539,41.448528,MLI
85.682806,30.212083,PFN
100.757931,46.775842,BIS
86.7750556,34.6371944,HSV
86.3939722,32.3006389,MGM
88.7729583,37.0602875,PAH
95.6565278,29.62225,SGR
103.079278,34.425139,CVN
102.916139,30.915667,FST
95.672611,29.818194,IWS
98.891,32.719047,BKD
97.407778,31.1525,TPL
101.202972,30.735281,OZA
98.4166367,34.5677144,LAW
94.059889,45.546556,STC
88.591361,33.450333,GTR
94.934722,47.510722,BJI
96.8157639,46.92065,FAR
94.598889,39.1275,MKC
88.751868,32.332624,MEI
89.677889,39.8441,SPI
100.95986,37.044222,LBL
101.698992,39.370621,GLD
93.388639,37.245667,SGF
94.498269,37.151814,JLN
94.3068111,36.2818694,XNA
97.7666,30.31666,ATT
87.611403,33.220627,TCL
90.709472,42.402,DBQ
